image_id,label
7201,2
7202,4
7203,2
7204,5
7205,4
7206,4
7207,4
7208,5
7209,4
7210,4
7211,5
7212,4
7213,4
7214,2
7215,2
7216,6
7217,4
7218,3
7219,4
7220,2
7221,4
7222,2
7223,4
7224,2
7225,4
7226,4
7227,4
7228,2
7229,2
7230,6
7231,5
7232,2
7233,4
7234,5
7235,2
7236,4
7237,4
7238,4
7239,4
7240,4
7241,4
7242,3
7243,2
7244,5
7245,2
7246,4
7247,4
7248,2
7249,5
7250,4
7251,4
7252,5
7253,4
7254,2
7255,6
7256,3
7257,3
7258,6
7259,4
7260,3
7261,1
7262,2
7263,4
7264,4
7265,2
7266,2
7267,4
7268,5
7269,2
7270,3
7271,6
7272,4
7273,2
7274,5
7275,2
7276,4
7277,5
7278,6
7279,4
7280,2
7281,5
7282,5
7283,5
7284,5
7285,2
7286,5
7287,4
7288,5
7289,4
7290,5
7291,2
7292,3
7293,4
7294,2
7295,1
7296,2
7297,2
7298,2
7299,4
7300,4
7301,2
7302,5
7303,5
7304,4
7305,4
7306,2
7307,2
7308,4
7309,4
7310,4
7311,3
7312,5
7313,4
7314,5
7315,5
7316,2
7317,4
7318,2
7319,2
7320,5
7321,2
7322,1
7323,4
7324,2
7325,4
7326,2
7327,2
7328,5
7329,3
7330,2
7331,5
7332,4
7333,4
7334,2
7335,4
7336,2
7337,3
7338,5
7339,2
7340,4
7341,5
7342,4
7343,2
7344,5
7345,4
7346,4
7347,4
7348,5
7349,4
7350,4
7351,2
7352,4
7353,4
7354,2
7355,6
7356,2
7357,3
7358,5
7359,5
7360,5
7361,2
7362,4
7363,4
7364,2
7365,2
7366,5
7367,4
7368,4
7369,4
7370,2
7371,6
7372,4
7373,5
7374,6
7375,2
7376,4
7377,4
7378,4
7379,2
7380,2
7381,4
7382,4
7383,2
7384,4
7385,4
7386,5
7387,4
7388,5
7389,5
7390,4
7391,4
7392,5
7393,4
7394,2
7395,2
7396,4
7397,3
7398,4
7399,2
7400,2
7401,1
7402,4
7403,2
7404,4
7405,4
7406,4
7407,2
7408,2
7409,2
7410,2
7411,5
7412,5
7413,3
7414,5
7415,3
7416,2
7417,2
7418,4
7419,5
7420,3
7421,2
7422,5
7423,6
7424,2
7425,2
7426,2
7427,2
7428,4
7429,2
7430,2
7431,4
7432,5
7433,5
7434,4
7435,2
7436,2
7437,3
7438,4
7439,3
7440,4
7441,4
7442,3
7443,6
7444,4
7445,2
7446,5
7447,4
7448,4
7449,4
7450,4
7451,6
7452,3
7453,2
7454,6
7455,2
7456,6
7457,2
7458,3
7459,6
7460,4
7461,4
7462,2
7463,4
7464,5
7465,5
7466,2
7467,4
7468,6
7469,4
7470,5
7471,5
7472,2
7473,3
7474,3
7475,4
7476,4
7477,4
7478,4
7479,4
7480,4
7481,2
7482,5
7483,2
7484,2
7485,5
7486,2
7487,3
7488,4
7489,5
7490,4
7491,4
7492,3
7493,1
7494,4
7495,4
7496,2
7497,6
7498,2
7499,4
7500,1
7501,3
7502,4
7503,5
7504,5
7505,4
7506,4
7507,5
7508,4
7509,3
7510,4
7511,2
7512,5
7513,4
7514,3
7515,4
7516,2
7517,2
7518,4
7519,4
7520,1
7521,4
7522,3
7523,3
7524,5
7525,6
7526,5
7527,2
7528,4
7529,4
7530,6
7531,2
7532,4
7533,2
7534,4
7535,5
7536,4
7537,2
7538,5
7539,6
7540,2
7541,5
7542,4
7543,3
7544,2
7545,2
7546,5
7547,2
7548,3
7549,2
7550,4
7551,6
7552,5
7553,5
7554,4
7555,6
7556,4
7557,4
7558,3
7559,3
7560,4
7561,2
7562,5
7563,4
7564,4
7565,4
7566,2
7567,4
7568,4
7569,6
7570,2
7571,5
7572,4
7573,5
7574,1
7575,2
7576,2
7577,2
7578,4
7579,3
7580,4
7581,5
7582,2
7583,4
7584,5
7585,4
7586,5
7587,4
7588,2
7589,2
7590,4
7591,2
7592,2
7593,4
7594,5
7595,2
7596,3
7597,2
7598,4
7599,2
7600,2
7601,5
7602,6
7603,4
7604,1
7605,6
7606,5
7607,4
7608,4
7609,1
7610,4
7611,2
7612,6
7613,2
7614,6
7615,5
7616,4
7617,6
7618,2
7619,4
7620,5
7621,2
7622,5
7623,2
7624,5
7625,4
7626,4
7627,4
7628,6
7629,3
7630,2
7631,6
7632,4
7633,6
7634,2
7635,4
7636,4
7637,5
7638,6
7639,5
7640,5
7641,5
7642,2
7643,4
7644,5
7645,3
7646,4
7647,4
7648,2
7649,5
7650,4
7651,3
7652,2
7653,3
7654,5
7655,4
7656,5
7657,4
7658,6
7659,5
7660,4
7661,4
7662,6
7663,2
7664,4
7665,6
7666,2
7667,2
7668,2
7669,2
7670,6
7671,2
7672,2
7673,4
7674,5
7675,5
7676,4
7677,6
7678,2
7679,2
7680,4
7681,4
7682,4
7683,2
7684,2
7685,5
7686,1
7687,5
7688,4
7689,2
7690,4
7691,4
7692,4
7693,4
7694,5
7695,2
7696,2
7697,4
7698,2
7699,4
7700,2
7701,4
7702,4
7703,4
7704,2
7705,4
7706,4
7707,2
7708,2
7709,2
7710,4
7711,5
7712,2
7713,4
7714,2
7715,2
7716,4
7717,6
7718,1
7719,4
7720,4
7721,4
7722,4
7723,2
7724,2
7725,4
7726,2
7727,2
7728,2
7729,4
7730,4
7731,4
7732,3
7733,2
7734,4
7735,2
7736,5
7737,5
7738,2
7739,5
7740,5
7741,4
7742,5
7743,2
7744,2
7745,5
7746,4
7747,5
7748,3
7749,5
7750,3
7751,4
7752,2
7753,4
7754,2
7755,4
7756,5
7757,4
7758,2
7759,4
7760,2
7761,4
7762,4
7763,2
7764,4
7765,4
7766,5
7767,1
7768,4
7769,2
7770,2
7771,4
7772,1
7773,5
7774,4
7775,1
7776,2
7777,4
7778,4
7779,4
7780,3
7781,4
7782,4
7783,2
7784,4
7785,4
7786,2
7787,4
7788,6
7789,2
7790,2
7791,2
7792,2
7793,2
7794,4
7795,2
7796,4
7797,4
7798,5
7799,2
7800,2
7801,5
7802,4
7803,5
7804,3
7805,2
7806,5
7807,2
7808,5
7809,4
7810,3
7811,2
7812,2
7813,4
7814,2
7815,4
7816,2
7817,5
7818,2
7819,2
7820,4
7821,3
7822,4
7823,2
7824,5
7825,4
7826,4
7827,4
7828,2
7829,2
7830,2
7831,2
7832,4
7833,2
7834,4
7835,6
7836,4
7837,4
7838,6
7839,3
7840,4
7841,2
7842,4
7843,2
7844,6
7845,4
7846,2
7847,2
7848,4
7849,5
7850,2
7851,5
7852,2
7853,1
7854,2
7855,6
7856,4
7857,2
7858,2
7859,4
7860,4
7861,3
7862,2
7863,1
7864,3
7865,3
7866,2
7867,6
7868,4
7869,5
7870,4
7871,3
7872,2
7873,5
7874,2
7875,2
7876,3
7877,5
7878,4
7879,5
7880,2
7881,4
7882,4
7883,5
7884,2
7885,3
7886,4
7887,2
7888,5
7889,6
7890,2
7891,2
7892,2
7893,4
7894,4
7895,5
7896,4
7897,5
7898,5
7899,4
7900,4
7901,4
7902,2
7903,4
7904,3
7905,6
7906,5
7907,2
7908,5
7909,2
7910,4
7911,2
7912,2
7913,2
7914,4
7915,4
7916,2
7917,2
7918,4
7919,3
7920,2
7921,4
7922,2
7923,6
7924,6
7925,5
7926,2
7927,4
7928,5
7929,3
7930,5
7931,3
7932,4
7933,5
7934,4
7935,6
7936,3
7937,4
7938,2
7939,4
7940,5
7941,4
7942,4
7943,2
7944,2
7945,5
7946,6
7947,5
7948,4
7949,4
7950,5
7951,4
7952,3
7953,6
7954,4
7955,6
7956,4
7957,4
7958,3
7959,2
7960,5
7961,4
7962,2
7963,4
7964,4
7965,5
7966,2
7967,4
7968,4
7969,4
7970,4
7971,3
7972,6
7973,6
7974,2
7975,4
7976,2
7977,4
7978,2
7979,4
7980,2
7981,4
7982,6
7983,6
7984,2
7985,5
7986,2
7987,4
7988,5
7989,4
7990,2
7991,4
7992,2
7993,4
7994,1
7995,4
7996,4
7997,1
7998,4
7999,2
8000,6
8001,3
8002,4
8003,4
8004,4
8005,4
8006,4
8007,2
8008,4
8009,2
8010,2
8011,1
8012,4
8013,4
8014,6
8015,4
8016,4
8017,4
8018,2
8019,1
8020,3
8021,5
8022,4
8023,4
8024,4
8025,2
8026,4
8027,5
8028,4
8029,5
8030,2
8031,2
8032,2
8033,6
8034,4
8035,5
8036,4
